"Study","Effect","yi","vi","PCMeasure","Substance","Timeframe","SUMeasure","Age","Gender","Europe","AAO","AfricaME","LatinAmerica","Longitudinal","pubyear","Number","PC_outcome","Including_peer_use","Including_other_peer_connectedness","AddHealth"
"Agan_2015",1,0.4,0.00415841584158416,"Sociometric Popularity","Binge Drinking or Drunkenness","Recent Use","Frequency of Use",16.95,50,1,0,0,0,"0",19,0,0,"no","no",0
"Agan_2015",2,0.42,0.00407722772277228,"Sociometric Popularity","Binge Drinking or Drunkenness","Recent Use","Frequency of Use",16.95,50,1,0,0,0,"0",19,0,0,"no","no",0
"Agan_2015",3,0.1,0.0049009900990099,"Sociometric Likeability","Binge Drinking or Drunkenness","Recent Use","Frequency of Use",16.95,50,1,0,0,0,"0",19,0,0,"no","no",0
"Agan_2015",4,0.01,0.00495,"Sociometric Likeability","Binge Drinking or Drunkenness","Recent Use","Frequency of Use",16.95,50,1,0,0,0,"0",19,0,0,"no","no",0
"Agan_2015",5,0.33,0.00441138613861386,"Sociometric Popularity","Nicotine Use","Recent Use","Frequency of Use",16.95,50,1,0,0,0,"0",19,0,0,"no","no",0
"Agan_2015",6,0.39,0.00419752475247525,"Sociometric Popularity","Nicotine Use","Recent Use","Frequency of Use",16.95,50,1,0,0,0,"0",19,0,0,"no","no",0
"Agan_2015",7,0.01,0.00495,"Sociometric Likeability","Nicotine Use","Recent Use","Frequency of Use",16.95,50,1,0,0,0,"0",19,0,0,"no","no",0
"Agan_2015",8,0.01,0.00495,"Sociometric Likeability","Nicotine Use","Recent Use","Frequency of Use",16.95,50,1,0,0,0,"0",19,0,0,"no","no",0
"Agan_2015",9,0.32,0.00444356435643564,"Sociometric Popularity","Marijuana Use","Lifetime Use","Frequency of Use",16.95,50,1,0,0,0,"0",19,0,0,"no","no",0
"Agan_2015",10,0.31,0.00447475247524752,"Sociometric Popularity","Marijuana Use","Lifetime Use","Frequency of Use",16.95,50,1,0,0,0,"0",19,0,0,"no","no",0
"Agan_2015",11,-0.02,0.00494851485148515,"Sociometric Likeability","Marijuana Use","Lifetime Use","Frequency of Use",16.95,50,1,0,0,0,"0",19,0,0,"no","no",0
"Agan_2015",12,-0.04,0.00494257425742574,"Sociometric Likeability","Marijuana Use","Lifetime Use","Frequency of Use",16.95,50,1,0,0,0,"0",19,0,0,"no","no",0
"Allen_2005",1,0.06,0.00547472527472527,"Social Competency","Compound Measure of Drug Use","aNo Frequency Specified","aaNo Measure Specified",13.36,47.02,0,0,0,0,"0",9,0,0,"no","no",0
"Allen_2005",2,0.05,0.00548076923076923,"Social Competency","Compound Measure of Drug Use","aNo Frequency Specified","aaNo Measure Specified",13.36,47.02,0,0,0,0,"1",9,0,0,"no","no",0
"Allen_2005",3,-0.05,0.00548076923076923,"Sociometric Likeability","Compound Measure of Drug Use","aNo Frequency Specified","aaNo Measure Specified",13.36,47.02,0,0,0,0,"0",9,0,0,"no","no",0
"Allen_2005",4,0.09,0.00545,"Sociometric Likeability","Compound Measure of Drug Use","aNo Frequency Specified","aaNo Measure Specified",13.36,47.02,0,0,0,0,"1",9,0,0,"no","no",0
"Allen_2005",5,-0.22,0.00522857142857143,"Sociometric Likeability","Compound Measure of Drug Use","aNo Frequency Specified","aaNo Measure Specified",13.36,47.02,0,0,0,0,"0",9,0,0,"no","no",0
"Allen_2005",6,-0.13,0.00540164835164835,"Sociometric Likeability","Compound Measure of Drug Use","aNo Frequency Specified","aaNo Measure Specified",13.36,47.02,0,0,0,0,"1",9,0,0,"no","no",0
"Allen_2006",1,-0.04,0.00567272727272727,"Sociometric Likeability","Compound Measure of Drug Use","aNo Frequency Specified","Problem",14.1974582167948,46.9,0,0,0,0,"0",10,0,0,"no","no",0
"Allen_2006",2,0.07,0.00565397727272727,"Sociometric Likeability","Compound Measure of Drug Use","aNo Frequency Specified","Problem",13.9196002166858,46.9,0,0,0,0,"1",10,0,0,"no","no",0
"Allen_2006",3,-0.1,0.005625,"Sociometric Likeability","Compound Measure of Drug Use","aNo Frequency Specified","Problem",13.8150597473746,46.9,0,0,0,0,"1",10,0,1,"no","no",0
"Allen_2006",4,-0.01,0.00568125,"Sociometric Likeability","Compound Measure of Drug Use","aNo Frequency Specified","Problem",13.5077219129913,46.9,0,0,0,0,"0",10,0,1,"no","no",0
"Allen_2006",5,-0.19,0.00547670454545454,"Social Competency","Compound Measure of Drug Use","aNo Frequency Specified","Problem",14.0685365563864,46.9,0,0,0,0,"0",10,0,0,"no","no",0
"Allen_2006",6,-0.1,0.005625,"Social Competency","Compound Measure of Drug Use","aNo Frequency Specified","Problem",14.2094015487144,46.9,0,0,0,0,"1",10,0,0,"no","no",0
"Allen_2006",7,-0.01,0.00568125,"aaSociometric Friendship","Compound Measure of Drug Use","aNo Frequency Specified","Problem",13.9751162207592,46.9,0,0,0,0,"1",10,0,0,"no","no",0
"Allen_2006",8,-0.07,0.00565397727272727,"aaSociometric Friendship","Compound Measure of Drug Use","aNo Frequency Specified","Problem",13.6622404551972,46.9,0,0,0,0,"0",10,0,0,"no","no",0
"Allen_2012",3,0.11,0.00637354838709677,"aaSociometric Friendship","Compound Measure of Drug Use","aNo Frequency Specified","Frequency of Use",13.35,46.7,0,0,0,0,"0",16,0,0,"no","no",0
