"term","estimate","std.error","statistic","df","p.value"
"intercept",0.0277076004408249,0.0359212373943536,0.771343151034665,62.6443356219439,0.443403402744705
"PCMeasureaSelf-Reported Number of Friends",-0.0064166493998309,0.0245030250648166,-0.261871723301807,63.2614703425617,0.794271132832536
"PCMeasureSociometric Likeability",-0.0192518027036362,0.0252208764443035,-0.763328060630681,57.4388093236593,0.448391727619466
"PCMeasureSociometric Popularity",0.0689173225868336,0.0232597145854664,2.96294790435201,55.1754661254719,0.00448976560645242
"PCMeasureSupport from Friends",0.0463069659817591,0.0239053530390003,1.93709609333992,64.3654061539942,0.0571248319492259
"PCMeasureTime Spent with Friends",0.0500896064109254,0.0240995057664473,2.07844952906308,64.7427198186834,0.0416360573538448
"SubstanceBinge Drinking or Drunkenness",-0.00107035851226408,0.0156361129844147,-0.0684542579943596,64.9879655061899,0.945634218345188
"SubstanceCompound Measure of Drug Use",0.0575300899273125,0.0214140636958078,2.68655640258393,64.6117010469876,0.00916753159691375
"SubstanceMarijuana Use",-0.00452810830034704,0.0240326337163783,-0.188414984133059,64.0968935388476,0.85114662494486
"SubstanceNicotine Use",0.00285958323378991,0.0143024250216875,0.199936949814718,61.4998746485494,0.842189543583262
"TimeframeLifetime Use",-0.00148324131127735,0.0302320611452862,-0.0490618652876275,61.987055508246,0.961027736443157
"TimeframeRecent Use",0.0224498196527813,0.0298725989797423,0.75151879714267,52.7222203685764,0.455682239249434
"SUMeasureAny Use",-0.020284888481232,0.0332590088733982,-0.609906583760428,62.6512699151845,0.544129555990632
"SUMeasureFrequency of Use",-0.0277342906434236,0.0328720907484946,-0.843703275694251,60.5885887536942,0.402154045116547
"SUMeasureProblem",-0.0723566042033787,0.0367675788678279,-1.96794584880028,60.5372507857085,0.0536595974726208
"SUMeasureQuantity of Use",0.00608497155340404,0.0446224499567109,0.136365698416541,62.8996640220338,0.891967709636796
"Including_peer_useyes",-0.00673655889172543,0.0196071732803869,-0.343576240970136,64.8491397303979,0.732276445991918
